nb_naissances_annee,nb_naissances,code_dep_naissances
2024,2687,89
2025,2470,89
2026,2357,89
2016,1593,90
2017,1550,90
2018,1524,90
2019,1451,90
2020,1385,90
2021,1320,90
2022,1349,90
2023,1222,90
2024,1214,90
2025,1103,90
2026,1053,90
2016,18603,91
2017,18693,91
2018,18618,91
2019,18520,91
2020,18370,91
2021,18430,91
2022,18309,91
2023,17227,91
2024,17070,91
2025,15794,91
2026,15213,91
2016,23830,92
2017,23122,92
2018,22878,92
2019,22251,92
2020,21439,92
2021,21290,92
2022,20475,92
2023,19609,92
2024,19808,92
2025,18548,92
2026,18058,92
2016,29065,93
2017,28951,93
2018,28735,93
2019,28456,93
2020,27583,93
2021,26152,93
2022,26247,93
2023,25215,93
2024,24950,93
2025,23761,93
2026,23208,93
2016,20639,94
2017,20704,94
2018,20368,94
2019,20399,94
2020,19553,94
2021,19280,94
2022,18696,94
2023,17682,94
2024,17684,94
2025,16407,94
2026,15857,94
2016,19676,95
2017,19644,95
2018,19507,95
2019,19758,95
2020,19012,95
2021,19272,95
2022,19089,95
2023,17929,95
2024,17444,95
2025,15883,95
2026,15127,95
2016,1372,201
2017,1328,201
2018,1374,201
2019,1348,201
2020,1286,201
2021,1307,201
2022,1333,201
2023,1193,201
2024,1152,201
2025,1023,201
2026,956,201
2016,1541,202
2017,1590,202
2018,1480,202
2019,1503,202
2020,1401,202
2021,1421,202
2022,1416,202
2023,1307,202
2024,1325,202
2025,1250,202
2026,1219,202
2016,4653,971
2017,4126,971
2018,4249,971
2019,4601,971
2020,4678,971
2021,4344,971
2022,4218,971
2023,4061,971
2024,3617,971
2025,3821,971
2026,3743,971
2016,3782,972
2017,3640,972
2018,3670,972
2019,3749,972
2020,3529,972
2021,3627,972
2022,3493,972
2023,3335,972
2024,2898,972
2025,2510,972
2026,2266,972
2016,7270,973
2017,8057,973
2018,7995,973
2019,8104,973
2020,7992,973
2021,8127,973
2022,7718,973
2023,7689,973
2024,6853,973
2025,6496,973
2026,6183,973
2016,13742,974
2017,13708,974
2018,13364,974
2019,13171,974
2020,13142,974
2021,13470,974
2022,13205,974
2023,12876,974
2024,11822,974
2025,10848,974
2026,10258,974
