REF_AREA,TIME_PERIOD,OBS_VALUE,Code,Trimestre
D02,1982-Q2,8.4,02,T2_1982
D02,1982-Q1,8.2,02,T1_1982
D03,2024-Q3,8.0,03,T3_2024
D03,2024-Q2,7.9,03,T2_2024
D03,2024-Q1,7.9,03,T1_2024
D03,2023-Q4,8.0,03,T4_2023
D03,2023-Q3,7.9,03,T3_2023
D03,2023-Q2,7.7,03,T2_2023
D03,2023-Q1,7.5,03,T1_2023
D03,2022-Q4,7.4,03,T4_2022
D03,2022-Q3,7.6,03,T3_2022
D03,2022-Q2,7.8,03,T2_2022
D03,2022-Q1,7.7,03,T1_2022
D03,2021-Q4,7.8,03,T4_2021
D03,2021-Q3,8.2,03,T3_2021
D03,2021-Q2,8.3,03,T2_2021
D03,2021-Q1,8.4,03,T1_2021
D03,2020-Q4,8.3,03,T4_2020
D03,2020-Q3,9.4,03,T3_2020
D03,2020-Q2,7.8,03,T2_2020
D03,2020-Q1,8.3,03,T1_2020
D03,2019-Q4,8.7,03,T4_2019
D03,2019-Q3,8.8,03,T3_2019
D03,2019-Q2,8.9,03,T2_2019
D03,2019-Q1,9.2,03,T1_2019
D03,2018-Q4,9.1,03,T4_2018
D03,2018-Q3,9.3,03,T3_2018
D03,2018-Q2,9.5,03,T2_2018
D03,2018-Q1,9.6,03,T1_2018
D03,2017-Q4,9.3,03,T4_2017
D03,2017-Q3,9.8,03,T3_2017
D03,2017-Q2,9.9,03,T2_2017
D03,2017-Q1,9.8,03,T1_2017
D03,2016-Q4,10.4,03,T4_2016
D03,2016-Q3,10.2,03,T3_2016
D03,2016-Q2,10.3,03,T2_2016
D03,2016-Q1,10.6,03,T1_2016
D03,2015-Q4,10.6,03,T4_2015
D03,2015-Q3,10.6,03,T3_2015
D03,2015-Q2,10.7,03,T2_2015
D03,2015-Q1,10.4,03,T1_2015
D03,2014-Q4,10.5,03,T4_2014
D03,2014-Q3,10.3,03,T3_2014
D03,2014-Q2,10.2,03,T2_2014
D03,2014-Q1,10.1,03,T1_2014
D03,2013-Q4,10.1,03,T4_2013
D03,2013-Q3,10.1,03,T3_2013
D03,2013-Q2,10.3,03,T2_2013
D03,2013-Q1,10.3,03,T1_2013
D03,2012-Q4,10.2,03,T4_2012
D03,2012-Q3,9.8,03,T3_2012
D03,2012-Q2,9.8,03,T2_2012
D03,2012-Q1,9.5,03,T1_2012
D03,2011-Q4,9.4,03,T4_2011
D03,2011-Q3,9.2,03,T3_2011
D03,2011-Q2,9.0,03,T2_2011
D03,2011-Q1,9.1,03,T1_2011
D03,2010-Q4,9.1,03,T4_2010
D03,2010-Q3,9.2,03,T3_2010
D03,2010-Q2,9.1,03,T2_2010
D03,2010-Q1,9.2,03,T1_2010
D03,2009-Q4,9.5,03,T4_2009
D03,2009-Q3,9.0,03,T3_2009
D03,2009-Q2,9.1,03,T2_2009
D03,2009-Q1,8.6,03,T1_2009
D03,2008-Q4,7.8,03,T4_2008
D03,2008-Q3,7.3,03,T3_2008
D03,2008-Q2,7.1,03,T2_2008
D03,2008-Q1,6.8,03,T1_2008
D03,2007-Q4,7.2,03,T4_2007
D03,2007-Q3,7.7,03,T3_2007
D03,2007-Q2,7.8,03,T2_2007
D03,2007-Q1,8.2,03,T1_2007
D03,2006-Q4,8.1,03,T4_2006
D03,2006-Q3,8.6,03,T3_2006
D03,2006-Q2,8.6,03,T2_2006
D03,2006-Q1,8.7,03,T1_2006
D03,2005-Q4,8.7,03,T4_2005
D03,2005-Q3,8.5,03,T3_2005
D03,2005-Q2,8.3,03,T2_2005
D03,2005-Q1,8.1,03,T1_2005
D03,2004-Q4,8.5,03,T4_2004
D03,2004-Q3,8.4,03,T3_2004
D03,2004-Q2,8.2,03,T2_2004
D03,2004-Q1,8.3,03,T1_2004
D03,2003-Q4,8.1,03,T4_2003
D03,2003-Q3,7.8,03,T3_2003
D03,2003-Q2,7.9,03,T2_2003
D03,2003-Q1,7.8,03,T1_2003
D03,2002-Q4,7.5,03,T4_2002
D03,2002-Q3,7.5,03,T3_2002
D03,2002-Q2,7.6,03,T2_2002
D03,2002-Q1,7.7,03,T1_2002
D03,2001-Q4,7.7,03,T4_2001
D03,2001-Q3,7.8,03,T3_2001
D03,2001-Q2,8.2,03,T2_2001
D03,2001-Q1,8.4,03,T1_2001
D03,2000-Q4,8.2,03,T4_2000
D03,2000-Q3,8.2,03,T3_2000
D03,2000-Q2,8.5,03,T2_2000
D03,2000-Q1,9.0,03,T1_2000
D03,1999-Q4,9.6,03,T4_1999
D03,1999-Q3,10.0,03,T3_1999
D03,1999-Q2,10.3,03,T2_1999
D03,1999-Q1,10.3,03,T1_1999
D03,1998-Q4,10.3,03,T4_1998
D03,1998-Q3,10.3,03,T3_1998
D03,1998-Q2,10.4,03,T2_1998
D03,1998-Q1,10.5,03,T1_1998
D03,1997-Q4,10.9,03,T4_1997
D03,1997-Q3,11.2,03,T3_1997
D03,1997-Q2,11.2,03,T2_1997
D03,1997-Q1,11.2,03,T1_1997
D03,1996-Q4,11.3,03,T4_1996
D03,1996-Q3,11.2,03,T3_1996
D03,1996-Q2,11.2,03,T2_1996
